"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Cochabamba","3   Bs.-/Amarro","4   Bs.-/Amarro","","31/12/2013","Cochabamba"
"Achojcha","Comun","Comarapa","120   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Aji","Amarillo en Vaina Dulce","Sucre","350   Bs.-/Arroba (@)","36   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Aji","Amarillo en Vaina Picante","Sucre","350   Bs.-/Arroba (@)","36   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Aji","Rojo en Vaina Dulce","Sucre","350   Bs.-/Arroba (@)","36   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Aji","Rojo en Vaina Picante","Sucre","350   Bs.-/Arroba (@)","36   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Arveja","Verde (en vaina)","Aiquile","80   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Azucar","Guabira","Santa Cruz","185   Bs.-/qq","5   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Brocoli","Bola verde","Comarapa","80   Bs.-/Canasta","6   Bs.-/Unidad","pequeño","31/12/2013","Cochabamba"
"Cebolla","Blanca","Peru","320   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","cabeza grande","31/12/2013","Cochabamba"
"Coliflor","Bola de nieve","Comarapa","100   Bs.-/Canasta","7   Bs.-/Unidad","pequeño","31/12/2013","Cochabamba"
"Durazno","Criollo","La Paz","250   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Durazno","Criollo","La Paz","250   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Espinaca","Comun","Comarapa","90   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Frutilla","Sweet Charlie","Comarapa","10   Bs.-/Kilo","12   Bs.-/Kilo","Grande","31/12/2013","Cochabamba"
"Haba","Comun (en vaina)","Colomi","80   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Harina","de Maiz amarillo","Santa Cruz","112   Bs.-/qq","28   Bs.-/Arroba (@)","","31/12/2013","Cochabamba"
"Harina","de Trigo","Santa Cruz","300   Bs.-/qq","80   Bs.-/Arroba (@)","","31/12/2013","Cochabamba"
"Harina","Morada","Santa Cruz","230   Bs.-/qq","60   Bs.-/Arroba (@)","","31/12/2013","Cochabamba"
"Huevo","Criollo","Cliza","100   Bs.-/100 U.","100   Bs.-/100 U.","","31/12/2013","Cochabamba"
"Huevo","de Granja","Avicola rolon ","74   Bs.-/100 U.","74   Bs.-/100 U.","primera","31/12/2013","Cochabamba"
"Lechuga","Crespa","Del Valle","90   Bs.-/Canasta","2   Bs.-/Unidad","","31/12/2013","Cochabamba"
"Lima","Criolla","Cruceño","","15   Bs.-/25 U.","","31/12/2013","Cochabamba"
"Limon","Amarillo","La Guardia","40   Bs.-/100 U.","10   Bs.-/25 U.","sutil","31/12/2013","Cochabamba"
"Limon","Criollo","La Guardia","30   Bs.-/100 U.","8   Bs.-/25 U.","","31/12/2013","Cochabamba"
"Limon","de Licuar","Yapacaní","45   Bs.-/100 U.","12   Bs.-/25 U.","","31/12/2013","Cochabamba"
"Locoto","Cochabambino","Cochabamba","32   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Maiz","Blanco","Del Valle","400   Bs.-/qq","11   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Maiz","Blanco pelado","Del Valle","270   Bs.-/qq","10   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Maiz","Choclo","Del Valle","120   Bs.-/100 U.","15   Bs.-/Docena","mediano","31/12/2013","Cochabamba"
"Maiz","Duro","Del Valle","90   Bs.-/qq","6   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Maiz","Morocho (Culli)","Del Valle","90   Bs.-/qq","5   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Mani","Overo Desgranado","Aiquile","750   Bs.-/qq","15   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Mani","Overo en vaina","Aiquile","650   Bs.-/qq","15   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Mani","Pelado","Aiquile","175   Bs.-/Arroba (@)","15   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Mani","Rojo largo Desgranado","Aiquile","700   Bs.-/qq","20   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Mani","Rojo largo en vaina","Aiquile","800   Bs.-/qq","25   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Manzana","Criolla","Del Valle","60   Bs.-/Arroba (@)","4   Bs.-/Libra","","31/12/2013","Cochabamba"
"Manzana","Lanin royal","Argentina","90   Bs.-/Caja de 150U.","1   Bs.-/Unidad","mediano","31/12/2013","Cochabamba"
"Naranja","Criolla","Chapare","60   Bs.-/100 U.","15   Bs.-/25 U.","","31/12/2013","Cochabamba"
"Oca","Amarilla","Colomi","20   Bs.-/Arroba (@)","3   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Oca","Negra","Colomi","20   Bs.-/Arroba (@)","3   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Papa","Desiree (Holandesa)","Cochabamba","400   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","","31/12/2013","Cochabamba"
"Papa","Waycha (Arinosa)","Colomi","450   Bs.-/Bolsa (10@)","55   Bs.-/Arroba (@)","","31/12/2013","Cochabamba"
"Papaliza","Amarilla","Sur","80   Bs.-/Arroba (@)","10   Bs.-/3 Libras","menuda","31/12/2013","Cochabamba"
"Pepino","Comun","Los Negros","20   Bs.-/Arroba (@)","3   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Pimenton","4 Puntas","San Isidro","80   Bs.-/Bolsa Grande","30   Bs.-/Docena","grandes","31/12/2013","Cochabamba"
"Pollo","Criollo","Cliza","12   Bs.-/Kilo","12   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Repollo","Hibrido","Los Negros","2   Bs.-/Unidad","3   Bs.-/Unidad","grandes","31/12/2013","Cochabamba"
"Tomate","Pera","Mairana","65   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Trigo","Comun","Del Norte","80   Bs.-/Arroba (@)","8   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Vainita","Comun","Mairana","90   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","31/12/2013","Cochabamba"
"Yuca","Blanca","Chapare","","70   Bs.-/Arroba (@)","","31/12/2013","Cochabamba"
"Zanahoria","Chantenay","Cochabamba","300   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","","31/12/2013","Cochabamba"
"Zapallo","Quintalero","Comarapa","3   Bs.-/Kilo","4   Bs.-/Kilo","","31/12/2013","Cochabamba"
"Acelga","Comun","Cochabamba","4   Bs.-/Amarro","5   Bs.-/Amarro","","30/12/2013","Cochabamba"
"Achojcha","Comun","Comarapa","120   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","30/12/2013","Cochabamba"
"Aji","Amarillo en Vaina Dulce","Sucre","350   Bs.-/Arroba (@)","36   Bs.-/Kilo","","30/12/2013","Cochabamba"
