"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Tarija","2   Bs.-/Amarro","3   Bs.-/Amarro","","31/12/2013","Camiri"
"Achojcha","Comun","Santa Cruz","90   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","","31/12/2013","Camiri"
"Aji","Amarillo en Vaina Dulce","Monteagudo","85   Bs.-/Arroba (@)","8   Bs.-/Kilo","","31/12/2013","Camiri"
"Aji","Amarillo en Vaina Picante","Monteagudo","85   Bs.-/Arroba (@)","8   Bs.-/Kilo","","31/12/2013","Camiri"
"Aji","Rojo en Vaina Dulce","Monteagudo","230   Bs.-/Arroba (@)","7   Bs.-/Kilo","","31/12/2013","Camiri"
"Aji","Rojo en Vaina Picante","Monteagudo","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","","31/12/2013","Camiri"
"Arveja","Verde (en vaina)","Tarija","90   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","","31/12/2013","Camiri"
"Azucar","Guabira","Santa Cruz","190   Bs.-/qq","5   Bs.-/Kilo","","31/12/2013","Camiri"
"Azucar","San Aurelio","Santa Cruz","190   Bs.-/qq","5   Bs.-/Kilo","","31/12/2013","Camiri"
"Brocoli","Bola verde","Tarija","0   Bs.-/Canasta","7   Bs.-/Unidad","pequeño","31/12/2013","Camiri"
"Cebolla","Roja","Tarija","160   Bs.-/Bolsa (8@)","20   Bs.-/Arroba (@)","","31/12/2013","Camiri"
"Coliflor","Bola de nieve","Los Negros","100   Bs.-/Canasta","5   Bs.-/Unidad","Grande","31/12/2013","Camiri"
"Durazno","Amarillo","Argentina","220   Bs.-/Caja de 23 Kg","15   Bs.-/Kilo","","31/12/2013","Camiri"
"Durazno","Criollo","Tarija","200   Bs.-/Caja de 23 Kg","13   Bs.-/Kilo","","31/12/2013","Camiri"
"Espinaca","Comun","Tarija","0   Bs.-/Bolsa Grande","5   Bs.-/3 Libras","","31/12/2013","Camiri"
"Frejol","Carioca","No determinado","270   Bs.-/qq","8   Bs.-/Kilo","","31/12/2013","Camiri"
"Frejol","Mantecoso","No determinado","0   Bs.-/qq","8   Bs.-/Kilo","","31/12/2013","Camiri"
"Frejol","Negro","No determinado","440   Bs.-/qq","8   Bs.-/Kilo","","31/12/2013","Camiri"
