"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Churo","8   Bs.-/Amarro","10   Bs.-/Amarro","Hoja Grande","31/12/2013","Santa Cruz"
"Achojcha","Comun","Los Negros","30   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Grande","31/12/2013","Santa Cruz"
"Aji","Amarillo en Vaina Dulce","Peru","230   Bs.-/Arroba (@)","30   Bs.-/Kilo","Vaina grande ","31/12/2013","Santa Cruz"
"Aji","Rojo en Vaina Dulce","Peru","310   Bs.-/Arroba (@)","40   Bs.-/Kilo","Vaina grande","31/12/2013","Santa Cruz"
"Arveja","Verde (en vaina)","Churo","70   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","Vaina grande","31/12/2013","Santa Cruz"
"Azucar","Guabira","Santa Cruz","200   Bs.-/qq","5   Bs.-/Kilo","x- kilo","31/12/2013","Santa Cruz"
"Azucar","San Aurelio","Santa Cruz","185   Bs.-/qq","4   Bs.-/Kilo","Agranel","31/12/2013","Santa Cruz"
"Azucar","Unagro","Santa Cruz","200   Bs.-/qq","5   Bs.-/Kilo","x- kilo","31/12/2013","Santa Cruz"
"Brocoli","Bola verde","Los Negros","50   Bs.-/Canasta","3   Bs.-/Unidad","Chico","31/12/2013","Santa Cruz"
"Cebolla","Blanca","Cochabamba","200   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","Grande","31/12/2013","Santa Cruz"
"Cebolla","Roja","Cochabamba","96   Bs.-/Bolsa (8@)","18   Bs.-/Arroba (@)","Grande","31/12/2013","Santa Cruz"
"Coliflor","Bola de nieve","Los Negros","60   Bs.-/Canasta","4   Bs.-/Unidad","Mediano","31/12/2013","Santa Cruz"
"Durazno","Amarillo","Sucre","190   Bs.-/Caja de 23 Kg","16   Bs.-/Kilo","Mediano","31/12/2013","Santa Cruz"
"Durazno","Criollo","Sucre","90   Bs.-/Caja de 23 Kg","8   Bs.-/Kilo","Chico","31/12/2013","Santa Cruz"
"Espinaca","Comun","Los Negros","90   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","Hoja Mediana","31/12/2013","Santa Cruz"
"Frejol","Carioca","Sucre","200   Bs.-/qq","6   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Frejol","Mantecoso","Sucre","400   Bs.-/qq","9   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Frejol","Negro","Sucre","300   Bs.-/qq","7   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Frutilla","Sweet Charlie","Comarapa","10   Bs.-/Kilo","12   Bs.-/Kilo","Grande","31/12/2013","Santa Cruz"
"Haba","Comun (en vaina)","Cochabamba","40   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Vaina Mediana","31/12/2013","Santa Cruz"
"Harina","de Maiz amarillo","Santa Cruz","105   Bs.-/qq","27   Bs.-/Arroba (@)","","31/12/2013","Santa Cruz"
"Harina","de Trigo","Del Norte","305   Bs.-/qq","77   Bs.-/Arroba (@)","","31/12/2013","Santa Cruz"
"Harina","Morada","Sucre","240   Bs.-/qq","60   Bs.-/Arroba (@)","","31/12/2013","Santa Cruz"
"Huevo","Criollo","Santa Cruz","75   Bs.-/100 U.","80   Bs.-/100 U.","","31/12/2013","Santa Cruz"
"Huevo","de Granja","Santa Cruz","65   Bs.-/100 U.","70   Bs.-/100 U.","De primera","31/12/2013","Santa Cruz"
"Lechuga","Crespa","Los Negros","120   Bs.-/Canasta","5   Bs.-/Unidad","Hoja Grande","31/12/2013","Santa Cruz"
"Lechuga","Escarola","Los Negros","70   Bs.-/Canasta","3   Bs.-/Unidad","Hoja Grande","31/12/2013","Santa Cruz"
"Lechuga","Morada","Los Negros","70   Bs.-/Canasta","3   Bs.-/Unidad","Mediano","31/12/2013","Santa Cruz"
"Lima","Criolla","El Torno","100   Bs.-/100 U.","25   Bs.-/25 U.","Grande","31/12/2013","Santa Cruz"
"Limon","Amarillo","Santa Cruz","45   Bs.-/100 U.","13   Bs.-/25 U.","Grande","31/12/2013","Santa Cruz"
"Limon","Criollo","La Guardia","35   Bs.-/100 U.","9   Bs.-/25 U.","Mediano","31/12/2013","Santa Cruz"
"Limon","de Licuar","La Guardia","20   Bs.-/100 U.","5   Bs.-/25 U.","Grande","31/12/2013","Santa Cruz"
"Locoto","Cochabambino","Cbba/Yungas","60   Bs.-/Arroba (@)","7   Bs.-/3 Libras","Grande","31/12/2013","Santa Cruz"
"Maiz","Blanco","Cochabamba","560   Bs.-/qq","13   Bs.-/Kilo","Grande","31/12/2013","Santa Cruz"
"Maiz","Blanco pelado","Cochabamba","390   Bs.-/qq","8   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Maiz","Choclo","Cochabamba","160   Bs.-/100 U.","20   Bs.-/Docena","","31/12/2013","Santa Cruz"
"Maiz","Duro","Del Norte","90   Bs.-/qq","6   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Mani","Overo Desgranado","Sucre","620   Bs.-/qq","14   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Mani","Overo en vaina","Sucre","650   Bs.-/qq","16   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Mani","Pelado","Sucre","180   Bs.-/Arroba (@)","12   Bs.-/Kilo","Entero","31/12/2013","Santa Cruz"
"Mani","Rojo largo Desgranado","Sucre","700   Bs.-/qq","18   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Mani","Rojo largo en vaina","Sucre","800   Bs.-/qq","24   Bs.-/Kilo","","31/12/2013","Santa Cruz"
"Manzana","Criolla","Del Valle","80   Bs.-/Arroba (@)","6   Bs.-/Libra","Chica","31/12/2013","Santa Cruz"
"Manzana","Lanin royal","Argentina","200   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Grande","31/12/2013","Santa Cruz"
"Naranja","Criolla","Alto Beni","60   Bs.-/100 U.","15   Bs.-/25 U.","Grande","31/12/2013","Santa Cruz"
"Naranja","Criolla","Alto Beni","60   Bs.-/100 U.","15   Bs.-/25 U.","Grande","31/12/2013","Santa Cruz"
"Papa","Desiree (Holandesa)","Cochabamba","220   Bs.-/Bolsa (10@)","26   Bs.-/Arroba (@)","Grande","31/12/2013","Santa Cruz"
"Papa","Imilla","Cochabamba","180   Bs.-/Bolsa (10@)","24   Bs.-/Arroba (@)","Chica","31/12/2013","Santa Cruz"
"Papa","Waycha (Arinosa)","Cochabamba","450   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Super","31/12/2013","Santa Cruz"
"Papaliza","Amarilla","Descon.","60   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Mediano","31/12/2013","Santa Cruz"
"Pepino","Comun","Los Negros","30   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Mediano","31/12/2013","Santa Cruz"
