"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Santa Cruz","0   Bs.-/Amarro","12   Bs.-/Amarro","","31/12/2010","Trinidad"
"Achojcha","Comun","Santa Cruz","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","","31/12/2010","Trinidad"
"Arveja","Verde (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","31/12/2010","Trinidad"
"Azucar","Guabira","Santa Cruz","0   Bs.-/qq","9   Bs.-/Kilo","","31/12/2010","Trinidad"
"Azucar","San Aurelio","Santa Cruz","0   Bs.-/qq","5   Bs.-/Kilo","Emapa","31/12/2010","Trinidad"
"Brocoli","Bola verde","Santa Cruz","0   Bs.-/Canasta","10   Bs.-/Unidad","mediano","31/12/2010","Trinidad"
"Cebolla","Blanca","Santa Cruz","0   Bs.-/Bolsa (8@)","35   Bs.-/Arroba (@)","","31/12/2010","Trinidad"
"Cebolla","Roja","Santa Cruz","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","31/12/2010","Trinidad"
"Coliflor","Bola de nieve","Santa Cruz","0   Bs.-/Canasta","10   Bs.-/Unidad","mediano","31/12/2010","Trinidad"
"Durazno","Criollo","Santa Cruz","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","","31/12/2010","Trinidad"
"Frejol","Carioca","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","31/12/2010","Trinidad"
"Frejol","Mantecoso","Santa Cruz","0   Bs.-/qq","8   Bs.-/Kilo","","31/12/2010","Trinidad"
"Frejol","Negro","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","31/12/2010","Trinidad"
"Haba","Comun (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","31/12/2010","Trinidad"
"Harina","de Trigo","Santa Cruz","0   Bs.-/qq","50   Bs.-/Arroba (@)","","31/12/2010","Trinidad"
"Harina","Morada","Santa Cruz","0   Bs.-/qq","10   Bs.-/Arroba (@)","","31/12/2010","Trinidad"
"Huevo","de Granja","Santa Cruz","0   Bs.-/100 U.","60   Bs.-/100 U.","","31/12/2010","Trinidad"
"Lechuga","Crespa","Santa Cruz","0   Bs.-/Canasta","5   Bs.-/Unidad","","31/12/2010","Trinidad"
"Lechuga","Escarola","Santa Cruz","0   Bs.-/Canasta","3   Bs.-/Unidad","","31/12/2010","Trinidad"
"Limon","Criollo","Santa Cruz","0   Bs.-/100 U.","40   Bs.-/25 U.","","31/12/2010","Trinidad"
"Limon","de Licuar","Santa Cruz","0   Bs.-/100 U.","30   Bs.-/25 U.","","31/12/2010","Trinidad"
"Locoto","Cochabambino","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","","31/12/2010","Trinidad"
"Maiz","Choclo","Santa Cruz","0   Bs.-/100 U.","28   Bs.-/Docena","","31/12/2010","Trinidad"
"Maiz","Duro","Santa Cruz","0   Bs.-/qq","3   Bs.-/Kilo","","31/12/2010","Trinidad"
"Maiz","Morocho (Culli)","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","31/12/2010","Trinidad"
"Mani","Pelado","Santa Cruz","0   Bs.-/Arroba (@)","14   Bs.-/Kilo","","31/12/2010","Trinidad"
"Manzana","Lanin royal","Santa Cruz","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","","31/12/2010","Trinidad"
"Naranja","Criolla","Santa Cruz","0   Bs.-/100 U.","50   Bs.-/25 U.","","31/12/2010","Trinidad"
"Papa","Desiree (Holandesa)","Santa Cruz","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","","31/12/2010","Trinidad"
"Papa","Waycha (Arinosa)","Santa Cruz","0   Bs.-/Bolsa (10@)","65   Bs.-/Arroba (@)","","31/12/2010","Trinidad"
"Papaliza","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","31/12/2010","Trinidad"
"Pepino","Comun","Santa Cruz","0   Bs.-/Arroba (@)","2   Bs.-/3 Libras","","31/12/2010","Trinidad"
"Pimenton","4 Puntas","Santa Cruz","0   Bs.-/Bolsa Grande","14   Bs.-/Docena","","31/12/2010","Trinidad"
"Pollo","Granja","Santa Cruz","0   Bs.-/Kilo","18   Bs.-/Kilo","sofia","31/12/2010","Trinidad"
"Repollo","Hibrido","Santa Cruz","0   Bs.-/Unidad","10   Bs.-/Unidad","mediano","31/12/2010","Trinidad"
"Tomate","Pera","Santa Cruz","0   Bs.-/Caja de 18 Kg","7   Bs.-/Kilo","maduros","31/12/2010","Trinidad"
"Trigo","Comun","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","","31/12/2010","Trinidad"
"Vainita","Comun","Santa Cruz","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","31/12/2010","Trinidad"
"Yuca","Blanca","Beni","0   Bs.-/Bolsa (4@)","70   Bs.-/Arroba (@)","gruesa","31/12/2010","Trinidad"
"Zanahoria","Chantenay","Santa Cruz","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","","31/12/2010","Trinidad"
"Zapallo","Quintalero","Santa Cruz","0   Bs.-/Kilo","4   Bs.-/Kilo","","31/12/2010","Trinidad"
"Acelga","Comun","Santa Cruz","0   Bs.-/Amarro","14   Bs.-/Amarro","","29/12/2010","Trinidad"
"Achojcha","Comun","Santa Cruz","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Arveja","Verde (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Azucar","Guabira","Santa Cruz","0   Bs.-/qq","8   Bs.-/Kilo","","29/12/2010","Trinidad"
"Azucar","San Aurelio","Santa Cruz","0   Bs.-/qq","5   Bs.-/Kilo","","29/12/2010","Trinidad"
"Brocoli","Bola verde","Santa Cruz","0   Bs.-/Canasta","10   Bs.-/Unidad","","29/12/2010","Trinidad"
"Cebolla","Blanca","Santa Cruz","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","29/12/2010","Trinidad"
"Cebolla","Roja","Santa Cruz","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","29/12/2010","Trinidad"
"Coliflor","Bola de nieve","Santa Cruz","0   Bs.-/Canasta","10   Bs.-/Unidad","","29/12/2010","Trinidad"
"Espinaca","Comun","Santa Cruz","0   Bs.-/Bolsa Grande","6   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Haba","Comun (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Huevo","de Granja","Santa Cruz","0   Bs.-/100 U.","62   Bs.-/100 U.","","29/12/2010","Trinidad"
"Lechuga","Crespa","Santa Cruz","0   Bs.-/Canasta","3   Bs.-/Unidad","","29/12/2010","Trinidad"
"Lechuga","Escarola","Santa Cruz","0   Bs.-/Canasta","6   Bs.-/Unidad","","29/12/2010","Trinidad"
"Limon","Criollo","Santa Cruz","0   Bs.-/100 U.","45   Bs.-/25 U.","","29/12/2010","Trinidad"
"Limon","de Licuar","Santa Cruz","0   Bs.-/100 U.","30   Bs.-/25 U.","","29/12/2010","Trinidad"
"Locoto","Cochabambino","Santa Cruz","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Maiz","Choclo","Santa Cruz","0   Bs.-/100 U.","28   Bs.-/Docena","","29/12/2010","Trinidad"
"Maiz","Duro","Santa Cruz","0   Bs.-/qq","4   Bs.-/Kilo","","29/12/2010","Trinidad"
"Mani","Pelado","Santa Cruz","0   Bs.-/Arroba (@)","16   Bs.-/Kilo","","29/12/2010","Trinidad"
"Manzana","Lanin royal","Santa Cruz","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","","29/12/2010","Trinidad"
"Naranja","Criolla","Santa Cruz","0   Bs.-/100 U.","50   Bs.-/25 U.","","29/12/2010","Trinidad"
"Oca","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Papa","Desiree (Holandesa)","Santa Cruz","0   Bs.-/Bolsa (10@)","58   Bs.-/Arroba (@)","","29/12/2010","Trinidad"
"Papa","Waycha (Arinosa)","Santa Cruz","0   Bs.-/Bolsa (10@)","65   Bs.-/Arroba (@)","","29/12/2010","Trinidad"
"Papaliza","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Pepino","Comun","Santa Cruz","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Pimenton","4 Puntas","Santa Cruz","0   Bs.-/Bolsa Grande","14   Bs.-/Docena","","29/12/2010","Trinidad"
"Pollo","Granja","Santa Cruz","0   Bs.-/Kilo","18   Bs.-/Kilo","","29/12/2010","Trinidad"
"Repollo","Hibrido","Santa Cruz","0   Bs.-/Unidad","10   Bs.-/Unidad","","29/12/2010","Trinidad"
"Tomate","Pera","Santa Cruz","0   Bs.-/Caja de 18 Kg","7   Bs.-/Kilo","madurito","29/12/2010","Trinidad"
"Trigo","Comun","Santa Cruz","0   Bs.-/Arroba (@)","16   Bs.-/Kilo","","29/12/2010","Trinidad"
"Vainita","Comun","Santa Cruz","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","29/12/2010","Trinidad"
"Yuca","Rosada","Santa Cruz","0   Bs.-/Bolsa (4@)","50   Bs.-/Arroba (@)","","29/12/2010","Trinidad"
"Zanahoria","Chantenay","Santa Cruz","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","","29/12/2010","Trinidad"
"Zapallo","Quintalero","Santa Cruz","0   Bs.-/Kilo","4   Bs.-/Kilo","","29/12/2010","Trinidad"
"Acelga","Comun","Santa Cruz","0   Bs.-/Amarro","12   Bs.-/Amarro","","28/12/2010","Trinidad"
"Achojcha","Comun","Santa Cruz","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","","28/12/2010","Trinidad"
"Arveja","Verde (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","28/12/2010","Trinidad"
"Azucar","Guabira","Santa Cruz","0   Bs.-/qq","5   Bs.-/Kilo","","28/12/2010","Trinidad"
"Azucar","San Aurelio","Santa Cruz","0   Bs.-/qq","4   Bs.-/Kilo","Emapa","28/12/2010","Trinidad"
"Brocoli","Bola verde","Santa Cruz","0   Bs.-/Canasta","10   Bs.-/Unidad","grande","28/12/2010","Trinidad"
"Cebolla","Blanca","Santa Cruz","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","28/12/2010","Trinidad"
"Cebolla","Roja","Santa Cruz","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","28/12/2010","Trinidad"
"Coliflor","Bola de nieve","Santa Cruz","0   Bs.-/Canasta","10   Bs.-/Unidad","grande","28/12/2010","Trinidad"
"Espinaca","Comun","Santa Cruz","0   Bs.-/Bolsa Grande","4   Bs.-/3 Libras","hojas verde","28/12/2010","Trinidad"
"Frejol","Carioca","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","28/12/2010","Trinidad"
"Frejol","Mantecoso","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","28/12/2010","Trinidad"
"Haba","Comun (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","28/12/2010","Trinidad"
"Harina","de Trigo","Santa Cruz","0   Bs.-/qq","50   Bs.-/Arroba (@)","modelo","28/12/2010","Trinidad"
"Huevo","de Granja","Santa Cruz","0   Bs.-/100 U.","60   Bs.-/100 U.","primera","28/12/2010","Trinidad"
"Lechuga","Crespa","Santa Cruz","0   Bs.-/Canasta","2   Bs.-/Unidad","","28/12/2010","Trinidad"
"Lechuga","Escarola","Santa Cruz","0   Bs.-/Canasta","5   Bs.-/Unidad","grande","28/12/2010","Trinidad"
"Limon","Criollo","Santa Cruz","0   Bs.-/100 U.","35   Bs.-/25 U.","","28/12/2010","Trinidad"
"Limon","de Licuar","Santa Cruz","0   Bs.-/100 U.","30   Bs.-/25 U.","","28/12/2010","Trinidad"
"Locoto","Cochabambino","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","amarillento","28/12/2010","Trinidad"
"Maiz","Blanco","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","28/12/2010","Trinidad"
"Maiz","Choclo","Santa Cruz","0   Bs.-/100 U.","24   Bs.-/Docena","medio seco","28/12/2010","Trinidad"
"Maiz","Duro","Santa Cruz","0   Bs.-/qq","3   Bs.-/Kilo","","28/12/2010","Trinidad"
"Maiz","Morocho (Culli)","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","28/12/2010","Trinidad"
"Mani","Overo Desgranado","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","28/12/2010","Trinidad"
"Mani","Pelado","Santa Cruz","0   Bs.-/Arroba (@)","14   Bs.-/Kilo","","28/12/2010","Trinidad"
"Manzana","Lanin royal","Santa Cruz","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","","28/12/2010","Trinidad"
"Naranja","Criolla","Santa Cruz","0   Bs.-/100 U.","12   Bs.-/25 U.","","28/12/2010","Trinidad"
"Oca","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","28/12/2010","Trinidad"
"Papa","Desiree (Holandesa)","Santa Cruz","0   Bs.-/Bolsa (10@)","58   Bs.-/Arroba (@)","","28/12/2010","Trinidad"
"Papa","Waycha (Arinosa)","Santa Cruz","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","","28/12/2010","Trinidad"
"Papaliza","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","28/12/2010","Trinidad"
"Pepino","Comun","Santa Cruz","0   Bs.-/Arroba (@)","2   Bs.-/3 Libras","","28/12/2010","Trinidad"
"Pimenton","4 Puntas","Santa Cruz","0   Bs.-/Bolsa Grande","12   Bs.-/Docena","grande","28/12/2010","Trinidad"
"Pollo","Criollo","Santa Cruz","0   Bs.-/Kilo","25   Bs.-/Kilo","de la zona","28/12/2010","Trinidad"
"Pollo","Granja","Santa Cruz","0   Bs.-/Kilo","17   Bs.-/Kilo","sofia","28/12/2010","Trinidad"
"Repollo","Hibrido","Santa Cruz","0   Bs.-/Unidad","10   Bs.-/Unidad","grande","28/12/2010","Trinidad"
"Tomate","Pera","Santa Cruz","0   Bs.-/Caja de 18 Kg","8   Bs.-/Kilo","maduros","28/12/2010","Trinidad"
