"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Los Negros","4   Bs.-/Amarro","5   Bs.-/Amarro","Hoja Grande","28/12/2010","Santa Cruz"
"Achojcha","Comun","Los Negros","40   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Grande","28/12/2010","Santa Cruz"
"Arveja","Verde (en vaina)","Los Negros","140   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","28/12/2010","Santa Cruz"
"Azucar","Bermejo","Bermejo","0   Bs.-/qq","7   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Azucar","Guabira","Del Norte","0   Bs.-/qq","7   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Azucar","San Aurelio","Del Norte","295   Bs.-/qq","7   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Azucar","Unagro","Del Norte","0   Bs.-/qq","7   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Brocoli","Bola verde","Los Negros","90   Bs.-/Canasta","7   Bs.-/Unidad","Grande","28/12/2010","Santa Cruz"
"Cebolla","Blanca","Tarija","200   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","28/12/2010","Santa Cruz"
"Cebolla","Roja","Cochabamba","96   Bs.-/Bolsa (8@)","16   Bs.-/Arroba (@)","Grande","28/12/2010","Santa Cruz"
"Coliflor","Bola de nieve","Los Negros","80   Bs.-/Canasta","7   Bs.-/Unidad","Grande","28/12/2010","Santa Cruz"
"Durazno","Amarillo","Argentina","160   Bs.-/Caja de 23 Kg","13   Bs.-/Kilo","Mediana","28/12/2010","Santa Cruz"
"Durazno","Criollo","Del Valle","150   Bs.-/Caja de 23 Kg","12   Bs.-/Kilo","Grande","28/12/2010","Santa Cruz"
"Espinaca","Comun","Los Negros","80   Bs.-/Bolsa Grande","5   Bs.-/3 Libras","Hoja Grande","28/12/2010","Santa Cruz"
"Frejol","Carioca","Descon.","250   Bs.-/qq","8   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Frejol","Mantecoso","Descon.","240   Bs.-/qq","7   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Frejol","Negro","Descon.","240   Bs.-/qq","7   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Frutilla","Sweet Charlie","Comarapa","310   Bs.-/Kilo","14   Bs.-/Kilo","Grande","28/12/2010","Santa Cruz"
"Haba","Comun (en vaina)","Los Negros","70   Bs.-/Bolsa (2@)","4   Bs.-/3 Libras","Grande","28/12/2010","Santa Cruz"
"Harina","de Maiz amarillo","Del Norte","130   Bs.-/qq","32   Bs.-/Arroba (@)","","28/12/2010","Santa Cruz"
"Harina","de Trigo","Del Norte","160   Bs.-/qq","40   Bs.-/Arroba (@)","","28/12/2010","Santa Cruz"
"Harina","Morada","Del Valle","250   Bs.-/qq","80   Bs.-/Arroba (@)","","28/12/2010","Santa Cruz"
"Huevo","Criollo","Santa Cruz","55   Bs.-/100 U.","55   Bs.-/100 U.","","28/12/2010","Santa Cruz"
"Huevo","de Granja","Santa Cruz","60   Bs.-/100 U.","60   Bs.-/100 U.","Grande","28/12/2010","Santa Cruz"
"Lechuga","Crespa","Los Negros","40   Bs.-/Canasta","3   Bs.-/Unidad","Chico","28/12/2010","Santa Cruz"
"Lechuga","Escarola","Los Negros","50   Bs.-/Canasta","4   Bs.-/Unidad","Mediana","28/12/2010","Santa Cruz"
"Lechuga","Morada","Los Negros","90   Bs.-/Canasta","4   Bs.-/Unidad","Grande","28/12/2010","Santa Cruz"
"Lima","Criolla","El Torno","75   Bs.-/100 U.","20   Bs.-/25 U.","Grande","28/12/2010","Santa Cruz"
"Limon","Amarillo","Peru","30   Bs.-/100 U.","9   Bs.-/25 U.","Grande","28/12/2010","Santa Cruz"
"Limon","Criollo","La Guardia","30   Bs.-/100 U.","7   Bs.-/25 U.","Chico","28/12/2010","Santa Cruz"
"Limon","de Licuar","Yapacaní","28   Bs.-/100 U.","9   Bs.-/25 U.","Grande","28/12/2010","Santa Cruz"
"Locoto","Cochabambino","Los Negros","35   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","28/12/2010","Santa Cruz"
"Maiz","Blanco","Cochabamba","400   Bs.-/qq","8   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Maiz","Blanco pelado","Cochabamba","480   Bs.-/qq","9   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Maiz","Choclo","Cochabamba","180   Bs.-/100 U.","20   Bs.-/Docena","De primera","28/12/2010","Santa Cruz"
"Maiz","Duro","Cochabamba","0   Bs.-/qq","9   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Maiz","Morocho (Culli)","Cochabamba","200   Bs.-/qq","8   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Mani","Overo Desgranado","Cruceño","710   Bs.-/qq","16   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Mani","Overo en vaina","Cruceño","600   Bs.-/qq","15   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Mani","Pelado","Cruceño","180   Bs.-/Arroba (@)","18   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Mani","Rojo largo Desgranado","Cruceño","710   Bs.-/qq","14   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Mani","Rojo largo en vaina","Cruceño","700   Bs.-/qq","13   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Manzana","Criolla","La Paz","60   Bs.-/Arroba (@)","4   Bs.-/Libra","","28/12/2010","Santa Cruz"
"Manzana","Lanin royal","Chile","170   Bs.-/Caja de 150U.","2   Bs.-/Unidad","Grande","28/12/2010","Santa Cruz"
"Manzana","Lanin royal","Chile","170   Bs.-/Caja de 150U.","2   Bs.-/Unidad","Grande","28/12/2010","Santa Cruz"
"Naranja","Criolla","Yapacaní","40   Bs.-/100 U.","12   Bs.-/25 U.","","28/12/2010","Santa Cruz"
"Oca","Amarilla","Descon.","45   Bs.-/Arroba (@)","3   Bs.-/3 Libras","","28/12/2010","Santa Cruz"
"Oca","Negra","Descon.","50   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","28/12/2010","Santa Cruz"
"Papa","Desiree (Holandesa)","Cochabamba","340   Bs.-/Bolsa (10@)","36   Bs.-/Arroba (@)","Grande","28/12/2010","Santa Cruz"
"Papa","Imilla","Cochabamba","420   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","Chico","28/12/2010","Santa Cruz"
"Papa","Waycha (Arinosa)","Cochabamba","480   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Grande","28/12/2010","Santa Cruz"
"Papaliza","Amarilla","Cochabamba","80   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","28/12/2010","Santa Cruz"
"Pepino","Comun","Los Negros","15   Bs.-/Arroba (@)","2   Bs.-/3 Libras","","28/12/2010","Santa Cruz"
"Pimenton","4 Puntas","Los Negros","80   Bs.-/Bolsa Grande","9   Bs.-/Docena","","28/12/2010","Santa Cruz"
"Pollo","Criollo","Mairana","15   Bs.-/Kilo","15   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Pollo","Granja","Cruceño","16   Bs.-/Kilo","16   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Repollo","Hibrido","Los Negros","3   Bs.-/Unidad","4   Bs.-/Unidad","","28/12/2010","Santa Cruz"
"Tomate","Manzana","Los Negros","70   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Mediana","28/12/2010","Santa Cruz"
"Tomate","Pera","Los Negros","50   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","Grande Pinton","28/12/2010","Santa Cruz"
"Trigo","Comun","Del Norte","80   Bs.-/Arroba (@)","8   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Trigo","Pelado o Curtido","Del Norte","90   Bs.-/Arroba (@)","9   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Vainita","Comun","Los Negros","20   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","28/12/2010","Santa Cruz"
"Yuca","Blanca","Chapare","280   Bs.-/Bolsa (4@)","80   Bs.-/Arroba (@)","","28/12/2010","Santa Cruz"
"Yuca","Rosada","Chapare","280   Bs.-/Bolsa (4@)","80   Bs.-/Arroba (@)","","28/12/2010","Santa Cruz"
"Zanahoria","Chantenay","Cochabamba","320   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","","28/12/2010","Santa Cruz"
"Zapallo","Quintalero","Del Valle","3   Bs.-/Kilo","4   Bs.-/Kilo","","28/12/2010","Santa Cruz"
"Acelga","Comun","Los Negros","4   Bs.-/Amarro","5   Bs.-/Amarro","Hoja Grande","27/12/2010","Santa Cruz"
"Achojcha","Comun","Los Negros","40   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Grande","27/12/2010","Santa Cruz"
"Arveja","Verde (en vaina)","Los Negros","100   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","27/12/2010","Santa Cruz"
