"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Tarija","5   Bs.-/Amarro","2   Bs.-/Amarro","3 Amarro por 5bs.","28/12/2011","Camiri"
"Achojcha","Comun","Santa Cruz","110   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","28/12/2011","Camiri"
"Aji","Amarillo en Vaina Dulce","Monteagudo","200   Bs.-/Arroba (@)","24   Bs.-/Kilo","","28/12/2011","Camiri"
"Aji","Amarillo en Vaina Picante","Monteagudo","200   Bs.-/Arroba (@)","24   Bs.-/Kilo","","28/12/2011","Camiri"
"Aji","Rojo en Vaina Dulce","Monteagudo","180   Bs.-/Arroba (@)","20   Bs.-/Kilo","","28/12/2011","Camiri"
"Aji","Rojo en Vaina Picante","Monteagudo","180   Bs.-/Arroba (@)","20   Bs.-/Kilo","","28/12/2011","Camiri"
"Arveja","Verde (en vaina)","Tarija","140   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","28/12/2011","Camiri"
"Azucar","Guabira","Santa Cruz","288   Bs.-/qq","7   Bs.-/Kilo","","28/12/2011","Camiri"
"Azucar","San Aurelio","Santa Cruz","272   Bs.-/qq","7   Bs.-/Kilo","","28/12/2011","Camiri"
"Brocoli","Bola verde","Tarija","80   Bs.-/Canasta","3   Bs.-/Unidad","mediano","28/12/2011","Camiri"
"Cebolla","Roja","Cbba/Yungas","200   Bs.-/Bolsa (8@)","26   Bs.-/Arroba (@)","","28/12/2011","Camiri"
"Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","3   Bs.-/Unidad","","28/12/2011","Camiri"
"Espinaca","Comun","Tarija","80   Bs.-/Bolsa Grande","7   Bs.-/3 Libras","","28/12/2011","Camiri"
"Frejol","Carioca","Descon.","0   Bs.-/qq","9   Bs.-/Kilo","","28/12/2011","Camiri"
"Frejol","Mantecoso","Descon.","250   Bs.-/qq","9   Bs.-/Kilo","","28/12/2011","Camiri"
"Frejol","Negro","Descon.","248   Bs.-/qq","7   Bs.-/Kilo","","28/12/2011","Camiri"
"Frutilla","Sweet Charlie","Comarapa","18   Bs.-/Kilo","20   Bs.-/Kilo","","28/12/2011","Camiri"
"Haba","Comun (en vaina)","Tarija","120   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","28/12/2011","Camiri"
"Harina","de Maiz amarillo","Del Norte","120   Bs.-/qq","30   Bs.-/Arroba (@)","","28/12/2011","Camiri"
"Harina","de Trigo","Del Norte","185   Bs.-/qq","43   Bs.-/Arroba (@)","","28/12/2011","Camiri"
"Harina","Morada","Sucre","360   Bs.-/qq","90   Bs.-/Arroba (@)","","28/12/2011","Camiri"
"Huevo","Criollo","Descon.","90   Bs.-/100 U.","100   Bs.-/100 U.","","28/12/2011","Camiri"
"Huevo","de Granja","Descon.","60   Bs.-/100 U.","64   Bs.-/100 U.","mediano","28/12/2011","Camiri"
"Lechuga","Crespa","Santa Cruz","60   Bs.-/Canasta","2   Bs.-/Unidad","","28/12/2011","Camiri"
"Limon","Amarillo","Peru","70   Bs.-/100 U.","16   Bs.-/25 U.","","28/12/2011","Camiri"
"Limon","Criollo","Santa Cruz","40   Bs.-/100 U.","10   Bs.-/25 U.","","28/12/2011","Camiri"
"Limon","de Licuar","Santa Cruz","40   Bs.-/100 U.","10   Bs.-/25 U.","","28/12/2011","Camiri"
"Locoto","Cochabambino","Los Negros","80   Bs.-/Arroba (@)","8   Bs.-/3 Libras","","28/12/2011","Camiri"
"Maiz","Blanco","Cochabamba","280   Bs.-/qq","12   Bs.-/Kilo","","28/12/2011","Camiri"
"Maiz","Blanco pelado","Cochabamba","320   Bs.-/qq","14   Bs.-/Kilo","","28/12/2011","Camiri"
"Maiz","Choclo","Cochabamba","230   Bs.-/100 U.","30   Bs.-/Docena","grande","28/12/2011","Camiri"
"Maiz","Duro","Descon.","80   Bs.-/qq","3   Bs.-/Kilo","","28/12/2011","Camiri"
"Mani","Overo Desgranado","Cruceño","500   Bs.-/qq","14   Bs.-/Kilo","","28/12/2011","Camiri"
"Mani","Overo en vaina","Cruceño","380   Bs.-/qq","14   Bs.-/Kilo","","28/12/2011","Camiri"
"Mani","Pelado","Cruceño","120   Bs.-/Arroba (@)","18   Bs.-/Kilo","","28/12/2011","Camiri"
"Mani","Rojo largo Desgranado","Cruceño","0   Bs.-/qq","16   Bs.-/Kilo","","28/12/2011","Camiri"
"Mani","Rojo largo en vaina","Cruceño","0   Bs.-/qq","16   Bs.-/Kilo","","28/12/2011","Camiri"
"Manzana","Lanin royal","Chile","240   Bs.-/Caja de 150U.","4   Bs.-/Unidad","grande","28/12/2011","Camiri"
"Manzana","Lanin royal","Chile","240   Bs.-/Caja de 150U.","4   Bs.-/Unidad","grande","28/12/2011","Camiri"
"Papa","Desiree (Holandesa)","Tarija","280   Bs.-/Bolsa (10@)","32   Bs.-/Arroba (@)","","28/12/2011","Camiri"
"Papa","Imilla","Cochabamba","450   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","","28/12/2011","Camiri"
"Papa","Waycha (Arinosa)","Cochabamba","430   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","","28/12/2011","Camiri"
"Papaliza","Amarilla","Cochabamba","60   Bs.-/Arroba (@)","7   Bs.-/3 Libras","","28/12/2011","Camiri"
"Papaliza","Verde","Cochabamba","60   Bs.-/Arroba (@)","7   Bs.-/3 Libras","","28/12/2011","Camiri"
"Pepino","Comun","Santa Cruz","60   Bs.-/Arroba (@)","8   Bs.-/3 Libras","","28/12/2011","Camiri"
"Pimenton","4 Puntas","Santa Cruz","140   Bs.-/Bolsa Grande","10   Bs.-/Docena","grande","28/12/2011","Camiri"
"Pollo","Criollo","Descon.","24   Bs.-/Kilo","25   Bs.-/Kilo","","28/12/2011","Camiri"
"Pollo","Granja","Descon.","17   Bs.-/Kilo","18   Bs.-/Kilo","grande","28/12/2011","Camiri"
"Repollo","Hibrido","Descon.","2   Bs.-/Unidad","3   Bs.-/Unidad","","28/12/2011","Camiri"
"Tomate","Manzana","Descon.","80   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","grande  pinton ","28/12/2011","Camiri"
"Tomate","Pera","Tarija","80   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","grande   pinton","28/12/2011","Camiri"
"Trigo","Comun","Del Norte","80   Bs.-/Arroba (@)","7   Bs.-/Kilo","","28/12/2011","Camiri"
"Trigo","Pelado o Curtido","Del Norte","90   Bs.-/Arroba (@)","8   Bs.-/Kilo","","28/12/2011","Camiri"
"Vainita","Comun","Los Negros","100   Bs.-/Arroba (@)","8   Bs.-/3 Libras","","28/12/2011","Camiri"
"Yuca","Blanca","Cruceño","100   Bs.-/Bolsa (4@)","40   Bs.-/Arroba (@)","","28/12/2011","Camiri"
