"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Vinto","2   Bs.-/Amarro","3   Bs.-/Amarro","","23/12/2011","Cochabamba"
"Achojcha","Comun","Los Negros","50   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","grande","23/12/2011","Cochabamba"
"Aji","Amarillo en Vaina Dulce","Sucre","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Aji","Amarillo en Vaina Picante","Sucre","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Aji","Rojo en Vaina Dulce","Sucre","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Aji","Rojo en Vaina Picante","Sucre","0   Bs.-/Arroba (@)","21   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Arveja","Verde (en vaina)","Pojo","90   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","23/12/2011","Cochabamba"
"Azucar","San Aurelio","Santa Cruz","270   Bs.-/qq","7   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Brocoli","Bola verde","Vinto","0   Bs.-/Canasta","8   Bs.-/Unidad","","23/12/2011","Cochabamba"
"Cebolla","Blanca","Peru","220   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","23/12/2011","Cochabamba"
"Cebolla","Roja","Oruro/Cbba.","240   Bs.-/Bolsa (8@)","26   Bs.-/Arroba (@)","mediano","23/12/2011","Cochabamba"
"Coliflor","Bola de nieve","Vinto","0   Bs.-/Canasta","6   Bs.-/Unidad","pequeño","23/12/2011","Cochabamba"
"Durazno","Criollo","San Benito","110   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","pequeño","23/12/2011","Cochabamba"
"Espinaca","Comun","Vinto","70   Bs.-/Bolsa Grande","6   Bs.-/3 Libras","","23/12/2011","Cochabamba"
"Frejol","Carioca","Cochabamba","240   Bs.-/qq","10   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Frejol","Mantecoso","Cochabamba","340   Bs.-/qq","10   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Frejol","Negro","Cochabamba","210   Bs.-/qq","10   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Frutilla","Sweet Charlie","Pojo","12   Bs.-/Kilo","15   Bs.-/Kilo","grande","23/12/2011","Cochabamba"
"Haba","Comun (en vaina)","Colomi","45   Bs.-/Bolsa (2@)","4   Bs.-/3 Libras","grande","23/12/2011","Cochabamba"
"Harina","de Maiz amarillo","Mairana","90   Bs.-/qq","30   Bs.-/Arroba (@)","","23/12/2011","Cochabamba"
"Harina","de Trigo","No determinado","200   Bs.-/qq","50   Bs.-/Arroba (@)","","23/12/2011","Cochabamba"
"Harina","Morada","No determinado","240   Bs.-/qq","120   Bs.-/Arroba (@)","","23/12/2011","Cochabamba"
"Huevo","de Granja","Valle Bajo","60   Bs.-/100 U.","62   Bs.-/100 U.","mediano","23/12/2011","Cochabamba"
"Lechuga","Crespa","Vinto","70   Bs.-/Canasta","2   Bs.-/Unidad","","23/12/2011","Cochabamba"
"Limon","Amarillo","Peru","30   Bs.-/100 U.","15   Bs.-/25 U.","mediano","23/12/2011","Cochabamba"
"Limon","Criollo","No determinado","30   Bs.-/100 U.","10   Bs.-/25 U.","","23/12/2011","Cochabamba"
"Limon","de Licuar","Chapare","40   Bs.-/100 U.","15   Bs.-/25 U.","mediano","23/12/2011","Cochabamba"
"Locoto","Cochabambino","No determinado","35   Bs.-/Arroba (@)","3   Bs.-/3 Libras","grande","23/12/2011","Cochabamba"
"Maiz","Blanco","Cliza","400   Bs.-/qq","14   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Maiz","Blanco pelado","Cliza","500   Bs.-/qq","10   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Maiz","Choclo","Cliza","100   Bs.-/100 U.","15   Bs.-/Docena","de segunda","23/12/2011","Cochabamba"
"Maiz","Duro","Cliza","85   Bs.-/qq","9   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Maiz","Morocho (Culli)","Cliza","290   Bs.-/qq","12   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Mani","Overo Desgranado","Sucre","650   Bs.-/qq","17   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Mani","Overo en vaina","Sucre","690   Bs.-/qq","20   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Mani","Pelado","Mizque","180   Bs.-/Arroba (@)","17   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Mani","Rojo largo Desgranado","Sucre","650   Bs.-/qq","17   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Mani","Rojo largo en vaina","Sucre","690   Bs.-/qq","20   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Manzana","Criolla","No determinado","70   Bs.-/Arroba (@)","5   Bs.-/Libra","","23/12/2011","Cochabamba"
"Manzana","Lanin royal","Argentina","200   Bs.-/Caja de 150U.","3   Bs.-/Unidad","","23/12/2011","Cochabamba"
"Naranja","Criolla","Chapare","25   Bs.-/100 U.","10   Bs.-/25 U.","pequeño","23/12/2011","Cochabamba"
"Oca","Amarilla","No determinado","30   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","23/12/2011","Cochabamba"
"Papa","Desiree (Holandesa)","Peru","340   Bs.-/Bolsa (10@)","43   Bs.-/Arroba (@)","grande","23/12/2011","Cochabamba"
"Papa","Imilla","Morochata","230   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mediano","23/12/2011","Cochabamba"
"Papa","Waycha (Arinosa)","Morochata","320   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","grande","23/12/2011","Cochabamba"
"Papaliza","Amarilla","Chacapaya","30   Bs.-/Arroba (@)","5   Bs.-/3 Libras","grande","23/12/2011","Cochabamba"
"Pepino","Comun","Vinto","25   Bs.-/Arroba (@)","4   Bs.-/3 Libras","mediano","23/12/2011","Cochabamba"
"Pimenton","4 Puntas","La Paz","100   Bs.-/Bolsa Grande","12   Bs.-/Docena","mediano","23/12/2011","Cochabamba"
"Pollo","Criollo","Valle Bajo","0   Bs.-/Kilo","18   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Pollo","Granja","Cochabamba","13   Bs.-/Kilo","14   Bs.-/Kilo","sin menudencia","23/12/2011","Cochabamba"
"Repollo","Hibrido","Vinto","3   Bs.-/Unidad","5   Bs.-/Unidad","pequeño","23/12/2011","Cochabamba"
"Tomate","Pera","Saipina","70   Bs.-/Caja de 18 Kg","3   Bs.-/Kilo","grande","23/12/2011","Cochabamba"
"Trigo","Pelado o Curtido","Cochabamba","70   Bs.-/Arroba (@)","8   Bs.-/Kilo","","23/12/2011","Cochabamba"
"Vainita","Comun","Vinto","60   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","23/12/2011","Cochabamba"
"Yuca","Blanca","Chapare","0   Bs.-/Bolsa (4@)","40   Bs.-/Arroba (@)","","23/12/2011","Cochabamba"
"Yuca","Rosada","Chapare","0   Bs.-/Bolsa (4@)","40   Bs.-/Arroba (@)","","23/12/2011","Cochabamba"
"Zanahoria","Chantenay","Oruro/Cbba.","200   Bs.-/Bolsa (10@)","32   Bs.-/Arroba (@)","mediano","23/12/2011","Cochabamba"
"Zapallo","Quintalero","No determinado","2   Bs.-/Kilo","3   Bs.-/Kilo","","23/12/2011","Cochabamba"
