"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Los Negros","4   Bs.-/Amarro","6   Bs.-/Amarro","Amarro grande","18/12/2009","Santa Cruz"
"Achojcha","Comun","Los Negros","35   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","18/12/2009","Santa Cruz"
"Arveja","Verde (en vaina)","Cochabamba","70   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","18/12/2009","Santa Cruz"
"Arveja","Blanca (seca)","Los Negros","90   Bs.-/Bolsa (2@)","2   Bs.-/Libra","","18/12/2009","Santa Cruz"
"Brocoli","Bola verde","Los Negros","60   Bs.-/Canasta","6   Bs.-/Unidad","Brocoli mediano","18/12/2009","Santa Cruz"
"Cebolla","Roja","Cochabamba","128   Bs.-/Bolsa (8@)","18   Bs.-/Arroba (@)","Cebolla grande","18/12/2009","Santa Cruz"
"Coliflor","Bola de nieve","Los Negros","80   Bs.-/Canasta","10   Bs.-/Unidad","Coliflor grande","18/12/2009","Santa Cruz"
"Durazno","Amarillo","Cochabamba","80   Bs.-/Caja de 23 Kg","8   Bs.-/Kilo","Durazno grande","18/12/2009","Santa Cruz"
"Espinaca","Comun","Los Negros","40   Bs.-/Bolsa Grande","6   Bs.-/3 Libras","","18/12/2009","Santa Cruz"
"Frejol","Negro","Cochabamba","260   Bs.-/qq","6   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Frejol","Carioca","Valles Cruceños","280   Bs.-/qq","6   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Frejol","Mantecoso","Cochabamba","300   Bs.-/qq","7   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Haba","Comun (en vaina)","Cochabamba","70   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","18/12/2009","Santa Cruz"
"Huevo","Criollo","Cruceño","0   Bs.-/100 U.","80   Bs.-/100 U.","Huevo criollo grande","18/12/2009","Santa Cruz"
"Huevo","de Granja","Cruceño","44   Bs.-/100 U.","52   Bs.-/100 U.","","18/12/2009","Santa Cruz"
"Lechuga","Crespa","Los Negros","100   Bs.-/Canasta","3   Bs.-/Unidad","Planta grande","18/12/2009","Santa Cruz"
"Lechuga","Escarola","Los Negros","110   Bs.-/Canasta","5   Bs.-/Unidad","","18/12/2009","Santa Cruz"
"Lima","Criolla","Chapare","0   Bs.-/100 U.","12   Bs.-/25 U.","Lima pequeña","18/12/2009","Santa Cruz"
"Limon","Amarillo","Cruceño","20   Bs.-/100 U.","7   Bs.-/25 U.","Limon mediano","18/12/2009","Santa Cruz"
"Locoto","Cochabambino","Los Negros","38   Bs.-/Arroba (@)","6   Bs.-/3 Libras","Locoto grande","18/12/2009","Santa Cruz"
"Maiz","Duro","Valles Cruceños","64   Bs.-/qq","2   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Maiz","Morocho (Culli)","Valles Cruceños","280   Bs.-/qq","7   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Maiz","Blanco","Cochabamba","340   Bs.-/qq","8   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Maiz","Blanco pelado","Cochabamba","360   Bs.-/qq","9   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Maiz","Choclo","Cochabamba","140   Bs.-/100 U.","20   Bs.-/Docena","Choclo mediano","18/12/2009","Santa Cruz"
"Mani","Rojo largo Desgranado","Cochabamba","320   Bs.-/qq","8   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Mani","Pelado","Cochabamba","100   Bs.-/Arroba (@)","10   Bs.-/Kilo","","18/12/2009","Santa Cruz"
"Manzana","Criolla","Vallegrande","0   Bs.-/Arroba (@)","2   Bs.-/Libra","","18/12/2009","Santa Cruz"
"Manzana","Lanin royal","Argentina","130   Bs.-/Caja de 23 Kg","2   Bs.-/Unidad","","18/12/2009","Santa Cruz"
"Naranja","Criolla","Cruceño","0   Bs.-/100 U.","15   Bs.-/25 U.","Naranja grande","18/12/2009","Santa Cruz"
