"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Cochabamba","3   Bs.-/Amarro","4   Bs.-/Amarro","","21/01/2016","Cochabamba"
"Achojcha","Comun","Comarapa","160   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","21/01/2016","Cochabamba"
"Aji","Amarillo en Vaina Dulce","Sucre","375   Bs.-/Arroba (@)","40   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Aji","Amarillo en Vaina Picante","Sucre","320   Bs.-/Arroba (@)","35   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Aji","Rojo en Vaina Dulce","Sucre","375   Bs.-/Arroba (@)","40   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Aji","Rojo en Vaina Picante","Sucre","320   Bs.-/Arroba (@)","35   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Arveja","Verde (en vaina)","Aiquile","180   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","21/01/2016","Cochabamba"
"Azucar","Bermejo","Santa Cruz","190   Bs.-/qq","6   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Azucar","Guabira","Santa Cruz","195   Bs.-/qq","6   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Azucar","San Aurelio","Santa Cruz","190   Bs.-/qq","6   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Azucar","Unagro","Santa Cruz","190   Bs.-/qq","6   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Brocoli","Bola verde","Comarapa","80   Bs.-/Canasta","6   Bs.-/Unidad","grande","21/01/2016","Cochabamba"
"Cebolla","Blanca","Peru","280   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","grande","21/01/2016","Cochabamba"
"Cebolla","Roja","Capinota","260   Bs.-/Bolsa (8@)","36   Bs.-/Arroba (@)","mediano","21/01/2016","Cochabamba"
"Coliflor","Bola de nieve","Comarapa","80   Bs.-/Canasta","6   Bs.-/Unidad","mediano","21/01/2016","Cochabamba"
"Durazno","Amarillo","La Paz","180   Bs.-/Caja de 23 Kg","14   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Durazno","Amarillo","La Paz","180   Bs.-/Caja de 23 Kg","14   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Durazno","Criollo","San Benito","200   Bs.-/Caja de 23 Kg","15   Bs.-/Kilo","mediano","21/01/2016","Cochabamba"
"Espinaca","Comun","Comarapa","100   Bs.-/Bolsa Grande","10   Bs.-/3 Libras","","21/01/2016","Cochabamba"
"Frejol","Carioca","Vallegrande","220   Bs.-/qq","9   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Frejol","Mantecoso","Vallegrande","420   Bs.-/qq","8   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Frejol","Negro","Vallegrande","340   Bs.-/qq","8   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Frutilla","Sweet Charlie","Tiquipaya","12   Bs.-/Kilo","14   Bs.-/Kilo","grande","21/01/2016","Cochabamba"
"Haba","Comun (en vaina)","Colomi","64   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","","21/01/2016","Cochabamba"
"Harina","de Maiz amarillo","Santa Cruz","110   Bs.-/qq","30   Bs.-/Arroba (@)","","21/01/2016","Cochabamba"
"Harina","de Trigo","Santa Cruz","175   Bs.-/qq","55   Bs.-/Arroba (@)","","21/01/2016","Cochabamba"
"Harina","Morada","Santa Cruz","185   Bs.-/qq","55   Bs.-/Arroba (@)","","21/01/2016","Cochabamba"
"Huevo","Criollo","Cliza","90   Bs.-/100 U.","100   Bs.-/100 U.","","21/01/2016","Cochabamba"
"Huevo","de Granja","Avicola rolon ","60   Bs.-/100 U.","66   Bs.-/100 U.","primera","21/01/2016","Cochabamba"
"Lechuga","Crespa","Del Valle","80   Bs.-/Canasta","2   Bs.-/Unidad","","21/01/2016","Cochabamba"
"Lechuga","Escarola","Del Valle","80   Bs.-/Canasta","2   Bs.-/Unidad","","21/01/2016","Cochabamba"
"Lechuga","Morada","Del Valle","100   Bs.-/Canasta","5   Bs.-/Unidad","","21/01/2016","Cochabamba"
"Lima","Criolla","Cruceño","80   Bs.-/100 U.","20   Bs.-/25 U.","","21/01/2016","Cochabamba"
"Limon","Amarillo","Chapare","60   Bs.-/100 U.","15   Bs.-/25 U.","","21/01/2016","Cochabamba"
"Limon","Criollo","Del Valle","48   Bs.-/100 U.","12   Bs.-/25 U.","grande","21/01/2016","Cochabamba"
"Limon","de Licuar","Chapare","40   Bs.-/100 U.","10   Bs.-/25 U.","grande","21/01/2016","Cochabamba"
"Locoto","Cochabambino","Cochabamba","96   Bs.-/Arroba (@)","11   Bs.-/3 Libras","grande","21/01/2016","Cochabamba"
"Maiz","Blanco","Del Valle","400   Bs.-/qq","11   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Maiz","Blanco pelado","Del Valle","270   Bs.-/qq","10   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Maiz","Choclo","Del Valle","100   Bs.-/100 U.","12   Bs.-/Docena","","21/01/2016","Cochabamba"
"Maiz","Duro","Del Valle","55   Bs.-/qq","4   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Maiz","Morocho (Culli)","Del Valle","400   Bs.-/qq","15   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Mani","Overo Desgranado","Aiquile","750   Bs.-/qq","15   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Mani","Overo en vaina","Aiquile","650   Bs.-/qq","15   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Mani","Pelado","Aiquile","200   Bs.-/Arroba (@)","18   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Mani","Rojo largo Desgranado","Aiquile","700   Bs.-/qq","20   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Manzana","Criolla","Vinto","100   Bs.-/Arroba (@)","10   Bs.-/Libra","pequeño","21/01/2016","Cochabamba"
"Manzana","Lanin royal","Chile","220   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mediana","21/01/2016","Cochabamba"
"Manzana","Lanin royal","Chile","220   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mediana","21/01/2016","Cochabamba"
"Naranja","Criolla","Chapare","48   Bs.-/100 U.","12   Bs.-/25 U.","mediano","21/01/2016","Cochabamba"
"Oca","Amarilla","Colomi","35   Bs.-/Arroba (@)","4   Bs.-/3 Libras","pequeño","21/01/2016","Cochabamba"
"Papa","Desiree (Holandesa)","Cochabamba","480   Bs.-/Bolsa (10@)","55   Bs.-/Arroba (@)","mediano","21/01/2016","Cochabamba"
"Papa","Waycha (Arinosa)","Comarapa","380   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","grande","21/01/2016","Cochabamba"
"Papaliza","Amarilla","Sur","60   Bs.-/Arroba (@)","6   Bs.-/3 Libras","pequeño","21/01/2016","Cochabamba"
"Pepino","Comun","Los Negros","32   Bs.-/Arroba (@)","3   Bs.-/3 Libras","","21/01/2016","Cochabamba"
"Pimenton","4 Puntas","San Isidro","60   Bs.-/Bolsa Grande","12   Bs.-/Docena","grande","21/01/2016","Cochabamba"
"Pollo","Criollo","Cliza","14   Bs.-/Kilo","14   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Repollo","Hibrido","Del Valle","2   Bs.-/Unidad","3   Bs.-/Unidad","mediano","21/01/2016","Cochabamba"
"Tomate","Manzana","Mairana","60   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","mediano","21/01/2016","Cochabamba"
"Tomate","Pera","Saipina","70   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Trigo","Comun","Del Norte","80   Bs.-/Arroba (@)","8   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Trigo","Pelado o Curtido","Vallegrande","","9   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Vainita","Comun","Mairana","60   Bs.-/Arroba (@)","6   Bs.-/3 Libras","","21/01/2016","Cochabamba"
"Yuca","Blanca","Chapare","128   Bs.-/Bolsa (4@)","32   Bs.-/Arroba (@)","","21/01/2016","Cochabamba"
"Zanahoria","Chantenay","Cochabamba","240   Bs.-/Bolsa (10@)","32   Bs.-/Arroba (@)","","21/01/2016","Cochabamba"
"Zapallo","Quintalero","Comarapa","3   Bs.-/Kilo","4   Bs.-/Kilo","","21/01/2016","Cochabamba"
"Acelga","Comun","Cochabamba","3   Bs.-/Amarro","4   Bs.-/Amarro","","20/01/2016","Cochabamba"
"Achojcha","Comun","Comarapa","160   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","20/01/2016","Cochabamba"
"Aji","Amarillo en Vaina Dulce","Sucre","375   Bs.-/Arroba (@)","40   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Aji","Amarillo en Vaina Picante","Sucre","320   Bs.-/Arroba (@)","35   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Aji","Rojo en Vaina Dulce","Sucre","375   Bs.-/Arroba (@)","40   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Aji","Rojo en Vaina Picante","Sucre","320   Bs.-/Arroba (@)","35   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Arveja","Verde (en vaina)","Aiquile","180   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","20/01/2016","Cochabamba"
"Azucar","Bermejo","Santa Cruz","190   Bs.-/qq","6   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Azucar","Guabira","Santa Cruz","195   Bs.-/qq","6   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Azucar","San Aurelio","Santa Cruz","190   Bs.-/qq","6   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Azucar","Unagro","Santa Cruz","190   Bs.-/qq","6   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Brocoli","Bola verde","Comarapa","80   Bs.-/Canasta","6   Bs.-/Unidad","grande","20/01/2016","Cochabamba"
"Cebolla","Blanca","Peru","280   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","grande","20/01/2016","Cochabamba"
"Cebolla","Roja","Capinota","240   Bs.-/Bolsa (8@)","36   Bs.-/Arroba (@)","mediano","20/01/2016","Cochabamba"
"Coliflor","Bola de nieve","Comarapa","80   Bs.-/Canasta","6   Bs.-/Unidad","mediano","20/01/2016","Cochabamba"
"Durazno","Amarillo","La Paz","180   Bs.-/Caja de 23 Kg","14   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Durazno","Amarillo","La Paz","180   Bs.-/Caja de 23 Kg","14   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Durazno","Criollo","San Benito","120   Bs.-/Caja de 23 Kg","12   Bs.-/Kilo","pequeño","20/01/2016","Cochabamba"
"Espinaca","Comun","Comarapa","100   Bs.-/Bolsa Grande","10   Bs.-/3 Libras","","20/01/2016","Cochabamba"
"Frejol","Carioca","Vallegrande","220   Bs.-/qq","9   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Frejol","Mantecoso","Vallegrande","420   Bs.-/qq","8   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Frejol","Negro","Vallegrande","340   Bs.-/qq","8   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Frutilla","Sweet Charlie","Tiquipaya","12   Bs.-/Kilo","14   Bs.-/Kilo","grande","20/01/2016","Cochabamba"
"Haba","Comun (en vaina)","Colomi","64   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","","20/01/2016","Cochabamba"
"Harina","de Maiz amarillo","Santa Cruz","110   Bs.-/qq","30   Bs.-/Arroba (@)","","20/01/2016","Cochabamba"
"Harina","de Trigo","Santa Cruz","175   Bs.-/qq","55   Bs.-/Arroba (@)","","20/01/2016","Cochabamba"
"Harina","Morada","Santa Cruz","185   Bs.-/qq","55   Bs.-/Arroba (@)","","20/01/2016","Cochabamba"
"Huevo","Criollo","Cliza","90   Bs.-/100 U.","100   Bs.-/100 U.","","20/01/2016","Cochabamba"
"Huevo","de Granja","Avicola rolon ","60   Bs.-/100 U.","66   Bs.-/100 U.","primera","20/01/2016","Cochabamba"
"Lechuga","Crespa","Del Valle","80   Bs.-/Canasta","2   Bs.-/Unidad","","20/01/2016","Cochabamba"
"Lechuga","Escarola","Del Valle","80   Bs.-/Canasta","2   Bs.-/Unidad","","20/01/2016","Cochabamba"
"Lechuga","Morada","Del Valle","100   Bs.-/Canasta","5   Bs.-/Unidad","","20/01/2016","Cochabamba"
"Lima","Criolla","Cruceño","80   Bs.-/100 U.","20   Bs.-/25 U.","","20/01/2016","Cochabamba"
"Limon","Amarillo","Chapare","60   Bs.-/100 U.","15   Bs.-/25 U.","","20/01/2016","Cochabamba"
"Limon","Criollo","Del Valle","48   Bs.-/100 U.","12   Bs.-/25 U.","grande","20/01/2016","Cochabamba"
"Limon","de Licuar","Chapare","40   Bs.-/100 U.","10   Bs.-/25 U.","grande","20/01/2016","Cochabamba"
"Locoto","Cochabambino","Cochabamba","96   Bs.-/Arroba (@)","11   Bs.-/3 Libras","grande","20/01/2016","Cochabamba"
"Maiz","Blanco","Del Valle","400   Bs.-/qq","11   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Maiz","Blanco pelado","Del Valle","270   Bs.-/qq","10   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Maiz","Choclo","Del Valle","100   Bs.-/100 U.","12   Bs.-/Docena","","20/01/2016","Cochabamba"
"Maiz","Duro","Del Valle","55   Bs.-/qq","4   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Maiz","Morocho (Culli)","Del Valle","400   Bs.-/qq","15   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Mani","Overo Desgranado","Aiquile","750   Bs.-/qq","15   Bs.-/Kilo","","20/01/2016","Cochabamba"
"Mani","Overo en vaina","Aiquile","650   Bs.-/qq","15   Bs.-/Kilo","","20/01/2016","Cochabamba"
