"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Papa","Desiree (Holandesa)","Cochabamba","380   Bs.-/Bolsa (10@)","44   Bs.-/Arroba (@)","Super","01/06/2017","Santa Cruz"
"Papa","Imilla","Cochabamba","280   Bs.-/Bolsa (10@)","36   Bs.-/Arroba (@)","Chica","01/06/2017","Santa Cruz"
"Papa","Waycha (Arinosa)","Cochabamba","340   Bs.-/Bolsa (10@)","38   Bs.-/Arroba (@)","Super","01/06/2017","Santa Cruz"
"Papaliza","Amarilla","Descon.","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","Mediano","01/06/2017","Santa Cruz"
"Pepino","Comun","Los Negros","30   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Mediano","01/06/2017","Santa Cruz"
"Pimenton","4 Puntas","Los Negros","60   Bs.-/Bolsa Grande","8   Bs.-/Docena","Super","01/06/2017","Santa Cruz"
"Pollo","Criollo","Mairana","9   Bs.-/Kilo","10   Bs.-/Kilo","","01/06/2017","Santa Cruz"
"Pollo","Granja","Santa Cruz","11   Bs.-/Kilo","12   Bs.-/Kilo","","01/06/2017","Santa Cruz"
"Repollo","Hibrido","Los Negros","3   Bs.-/Unidad","5   Bs.-/Unidad","Grande","01/06/2017","Santa Cruz"
"Tomate","Manzana","Los Negros","50   Bs.-/Caja de 18 Kg","3   Bs.-/Kilo","Grande","01/06/2017","Santa Cruz"
"Tomate","Pera","Los Negros","50   Bs.-/Caja de 18 Kg","3   Bs.-/Kilo","Mediano","01/06/2017","Santa Cruz"
"Trigo","Comun","Del Norte","98   Bs.-/Arroba (@)","9   Bs.-/Kilo","largo","01/06/2017","Santa Cruz"
"Trigo","Pelado o Curtido","Del Norte","85   Bs.-/Arroba (@)","8   Bs.-/Kilo","corto","01/06/2017","Santa Cruz"
"Vainita","Comun","Los Negros","60   Bs.-/Arroba (@)","6   Bs.-/3 Libras","Vaina grande","01/06/2017","Santa Cruz"
"Yuca","Blanca","Chapare","70   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","","01/06/2017","Santa Cruz"
"Yuca","Rosada","Del Norte","90   Bs.-/Bolsa (4@)","35   Bs.-/Arroba (@)","","01/06/2017","Santa Cruz"
"Zanahoria","Chantenay","San Isidro","256   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","Grande","01/06/2017","Santa Cruz"
"Zapallo","Quintalero","Los Negros","2   Bs.-/Kilo","3   Bs.-/Kilo","","01/06/2017","Santa Cruz"
