"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Tarija","5   Bs.-/Amarro","2   Bs.-/Amarro","","28/09/2012","Camiri"
"Achojcha","Comun","Santa Cruz","120   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","28/09/2012","Camiri"
"Aji","Amarillo en Vaina Dulce","Monteagudo","300   Bs.-/Arroba (@)","38   Bs.-/Kilo","","28/09/2012","Camiri"
"Aji","Amarillo en Vaina Picante","Monteagudo","300   Bs.-/Arroba (@)","38   Bs.-/Kilo","","28/09/2012","Camiri"
"Aji","Rojo en Vaina Dulce","Monteagudo","220   Bs.-/Arroba (@)","25   Bs.-/Kilo","","28/09/2012","Camiri"
"Aji","Rojo en Vaina Picante","Monteagudo","220   Bs.-/Arroba (@)","25   Bs.-/Kilo","","28/09/2012","Camiri"
"Arveja","Verde (en vaina)","Tarija","140   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","28/09/2012","Camiri"
"Azucar","Guabira","Santa Cruz","256   Bs.-/qq","6   Bs.-/Kilo","","28/09/2012","Camiri"
"Azucar","San Aurelio","Santa Cruz","256   Bs.-/qq","6   Bs.-/Kilo","","28/09/2012","Camiri"
"Brocoli","Bola verde","Tarija","90   Bs.-/Canasta","4   Bs.-/Unidad","grande","28/09/2012","Camiri"
"Cebolla","Roja","Tarija","480   Bs.-/Bolsa (8@)","60   Bs.-/Arroba (@)","","28/09/2012","Camiri"
"Coliflor","Bola de nieve","Los Negros","120   Bs.-/Canasta","3   Bs.-/Unidad","mediano","28/09/2012","Camiri"
"Espinaca","Comun","Tarija","80   Bs.-/Bolsa Grande","7   Bs.-/3 Libras","","28/09/2012","Camiri"
"Frejol","Carioca","Descon.","0   Bs.-/qq","9   Bs.-/Kilo","","28/09/2012","Camiri"
"Frejol","Mantecoso","Descon.","250   Bs.-/qq","9   Bs.-/Kilo","","28/09/2012","Camiri"
"Frejol","Negro","Descon.","248   Bs.-/qq","7   Bs.-/Kilo","","28/09/2012","Camiri"
"Haba","Comun (en vaina)","Tarija","120   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","28/09/2012","Camiri"
"Harina","de Maiz amarillo","Del Norte","120   Bs.-/qq","30   Bs.-/Arroba (@)","","28/09/2012","Camiri"
"Harina","de Trigo","Del Norte","170   Bs.-/qq","42   Bs.-/Arroba (@)","","28/09/2012","Camiri"
"Harina","Morada","Sucre","360   Bs.-/qq","90   Bs.-/Arroba (@)","","28/09/2012","Camiri"
"Huevo","Criollo","Descon.","90   Bs.-/100 U.","100   Bs.-/100 U.","","28/09/2012","Camiri"
"Huevo","de Granja","Descon.","68   Bs.-/100 U.","72   Bs.-/100 U.","","28/09/2012","Camiri"
"Lechuga","Crespa","Santa Cruz","60   Bs.-/Canasta","2   Bs.-/Unidad","","28/09/2012","Camiri"
"Lima","Criolla","Santa Cruz","70   Bs.-/100 U.","18   Bs.-/25 U.","","28/09/2012","Camiri"
"Limon","Amarillo","Peru","70   Bs.-/100 U.","16   Bs.-/25 U.","","28/09/2012","Camiri"
"Limon","Criollo","Santa Cruz","40   Bs.-/100 U.","16   Bs.-/25 U.","","28/09/2012","Camiri"
"Limon","de Licuar","Santa Cruz","35   Bs.-/100 U.","14   Bs.-/25 U.","","28/09/2012","Camiri"
"Locoto","Cochabambino","Los Negros","60   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","28/09/2012","Camiri"
"Maiz","Blanco","Cochabamba","280   Bs.-/qq","12   Bs.-/Kilo","","28/09/2012","Camiri"
"Maiz","Blanco pelado","Cochabamba","320   Bs.-/qq","14   Bs.-/Kilo","","28/09/2012","Camiri"
"Maiz","Duro","Lagunillas","80   Bs.-/qq","3   Bs.-/Kilo","","28/09/2012","Camiri"
"Mandarina","Criolla","No determinado","60   Bs.-/100 U.","20   Bs.-/25 U.","mediano","28/09/2012","Camiri"
"Mani","Overo Desgranado","Cruceño","500   Bs.-/qq","12   Bs.-/Kilo","","28/09/2012","Camiri"
"Mani","Overo en vaina","Cruceño","380   Bs.-/qq","14   Bs.-/Kilo","","28/09/2012","Camiri"
"Mani","Pelado","Cruceño","120   Bs.-/Arroba (@)","18   Bs.-/Kilo","","28/09/2012","Camiri"
"Mani","Rojo largo Desgranado","Cruceño","0   Bs.-/qq","14   Bs.-/Kilo","","28/09/2012","Camiri"
"Manzana","Lanin royal","Argentina","180   Bs.-/Caja de 150U.","3   Bs.-/Unidad","","28/09/2012","Camiri"
"Naranja","Criolla","Santa Cruz","70   Bs.-/100 U.","24   Bs.-/25 U.","grande","28/09/2012","Camiri"
"Oca","Amarilla","Cochabamba","40   Bs.-/Arroba (@)","7   Bs.-/3 Libras","","28/09/2012","Camiri"
"Oca","Negra","Cochabamba","40   Bs.-/Arroba (@)","7   Bs.-/3 Libras","","28/09/2012","Camiri"
"Papa","Desiree (Holandesa)","Tarija","210   Bs.-/Bolsa (10@)","32   Bs.-/Arroba (@)","mediano","28/09/2012","Camiri"
"Papa","Imilla","Cochabamba","250   Bs.-/Bolsa (10@)","28   Bs.-/Arroba (@)","mediano","28/09/2012","Camiri"
"Papa","Waycha (Arinosa)","Cochabamba","250   Bs.-/Bolsa (10@)","28   Bs.-/Arroba (@)","","28/09/2012","Camiri"
"Papaliza","Amarilla","Cochabamba","45   Bs.-/Arroba (@)","7   Bs.-/3 Libras","","28/09/2012","Camiri"
"Papaliza","Verde","Cochabamba","45   Bs.-/Arroba (@)","7   Bs.-/3 Libras","","28/09/2012","Camiri"
"Pepino","Comun","Santa Cruz","20   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","28/09/2012","Camiri"
"Pimenton","4 Puntas","Santa Cruz","200   Bs.-/Bolsa Grande","15   Bs.-/Docena","mediano","28/09/2012","Camiri"
"Pollo","Criollo","Descon.","30   Bs.-/Kilo","32   Bs.-/Kilo","grande","28/09/2012","Camiri"
"Pollo","Granja","Descon.","15   Bs.-/Kilo","16   Bs.-/Kilo","mediano","28/09/2012","Camiri"
"Repollo","Hibrido","Descon.","2   Bs.-/Unidad","3   Bs.-/Unidad","","28/09/2012","Camiri"
