"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Los Negros","5   Bs.-/Amarro","7   Bs.-/Amarro","Hoja Grande","24/12/2012","Santa Cruz"
"Achojcha","Comun","Los Negros","70   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","Grande","24/12/2012","Santa Cruz"
"Arveja","Verde (en vaina)","Churo","100   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Vaina grande","24/12/2012","Santa Cruz"
"Azucar","Guabira","Del Norte","215   Bs.-/qq","5   Bs.-/Kilo","","24/12/2012","Santa Cruz"
"Azucar","San Aurelio","Del Norte","220   Bs.-/qq","5   Bs.-/Kilo","","24/12/2012","Santa Cruz"
"Azucar","Unagro","Del Norte","220   Bs.-/qq","5   Bs.-/Kilo","","24/12/2012","Santa Cruz"
"Brocoli","Bola verde","Los Negros","40   Bs.-/Canasta","3   Bs.-/Unidad","Mediano","24/12/2012","Santa Cruz"
"Cebolla","Blanca","Peru","360   Bs.-/Bolsa (8@)","50   Bs.-/Arroba (@)","Mediano","24/12/2012","Santa Cruz"
"Cebolla","Roja","Cochabamba","192   Bs.-/Bolsa (8@)","28   Bs.-/Arroba (@)","Grande","24/12/2012","Santa Cruz"
"Coliflor","Bola de nieve","Los Negros","90   Bs.-/Canasta","5   Bs.-/Unidad","Mediano","24/12/2012","Santa Cruz"
"Durazno","Amarillo","Argentina","200   Bs.-/Caja de 23 Kg","15   Bs.-/Kilo","Mediano","24/12/2012","Santa Cruz"
"Durazno","Criollo","Sucre","150   Bs.-/Caja de 23 Kg","12   Bs.-/Kilo","Mediano","24/12/2012","Santa Cruz"
"Espinaca","Comun","Los Negros","140   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","Hoja Mediana","24/12/2012","Santa Cruz"
"Frejol","Carioca","Descon.","300   Bs.-/qq","7   Bs.-/Kilo","","24/12/2012","Santa Cruz"
