"producto","variedad","Precio Mayorista","Precio Minorista","Procedencia","observaciones","fecha","Mercado"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","","19/12/2012","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","Santa Cruz","","19/12/2012","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","19/12/2012","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Azucar","San Aurelio","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","10   Bs.-/Unidad","Santa Cruz","","19/12/2012","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","45   Bs.-/Arroba (@)","Santa Cruz","","19/12/2012","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","19/12/2012","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","8   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Frejol","Negro","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","19/12/2012","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","49   Bs.-/Arroba (@)","Santa Cruz","","19/12/2012","Trinidad"
"Harina","Morada","0   Bs.-/qq","54   Bs.-/Arroba (@)","Santa Cruz","","19/12/2012","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","65   Bs.-/100 U.","Santa Cruz","","19/12/2012","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","4   Bs.-/Unidad","Santa Cruz","","19/12/2012","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","19/12/2012","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","19/12/2012","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","19/12/2012","Trinidad"
"Maiz","Morocho (Culli)","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","Santa Cruz","","19/12/2012","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","19/12/2012","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","Santa Cruz","","19/12/2012","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","Santa Cruz","","19/12/2012","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","Santa Cruz","","19/12/2012","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Santa Cruz","","19/12/2012","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","12   Bs.-/Docena","Santa Cruz","","19/12/2012","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","14   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","8   Bs.-/Unidad","Santa Cruz","","19/12/2012","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Trigo","Pelado o Curtido","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","19/12/2012","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","Santa Cruz","","19/12/2012","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","Santa Cruz","","19/12/2012","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","4   Bs.-/Kilo","Santa Cruz","","19/12/2012","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","amarro grande","18/12/2012","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","Santa Cruz","","18/12/2012","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","18/12/2012","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","18/12/2012","Trinidad"
"Cebolla","Blanca","0   Bs.-/Bolsa (8@)","70   Bs.-/Arroba (@)","Santa Cruz","","18/12/2012","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","48   Bs.-/Arroba (@)","Santa Cruz","","18/12/2012","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","18/12/2012","Trinidad"
"Durazno","Criollo","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Frejol","Negro","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","40   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","18/12/2012","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","55   Bs.-/Arroba (@)","Santa Cruz","princesa","18/12/2012","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","48   Bs.-/100 U.","Santa Cruz","segunda maedianos","18/12/2012","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","18/12/2012","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","18/12/2012","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","9   Bs.-/25 U.","Santa Cruz","","18/12/2012","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","18/12/2012","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","18/12/2012","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Beni","","18/12/2012","Trinidad"
"Maiz","Duro","0   Bs.-/qq","3   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Maiz","Morocho (Culli)","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","18/12/2012","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","18/12/2012","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","Santa Cruz","","18/12/2012","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","18/12/2012","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","Santa Cruz","","18/12/2012","Trinidad"
